Date,Year,Month,Day,Fert_TP_mg/d,Inflow_TP_mg/d,Fert_TN_mg/d,Inflow_TN_mg/d
10/13/70,1970,10,13,134782.6087,0.022959184,1673913.043,0.028804205
10/14/70,1970,10,14,134782.6087,0.014285714,1673913.043,0.023082989
10/15/70,1970,10,15,134782.6087,0,1673913.043,0
10/16/70,1970,10,16,134782.6087,0,1673913.043,0
10/17/70,1970,10,17,134782.6087,0,1673913.043,0
10/18/70,1970,10,18,134782.6087,0,1673913.043,0
10/19/70,1970,10,19,134782.6087,0,1673913.043,0
10/20/70,1970,10,20,134782.6087,0,1673913.043,0
10/21/70,1970,10,21,134782.6087,0,1673913.043,0
10/22/70,1970,10,22,134782.6087,0.015306122,1673913.043,0.029249993
10/23/70,1970,10,23,134782.6087,0,1673913.043,0
10/24/70,1970,10,24,134782.6087,0.00591541,1673913.043,0.010208368
10/25/70,1970,10,25,134782.6087,0.007482993,1673913.043,0.011759435
10/26/70,1970,10,26,134782.6087,0.00066368,1673913.043,0.000957662
10/27/70,1970,10,27,134782.6087,0.001607661,1673913.043,0.002313541
10/28/70,1970,10,28,134782.6087,0.002699958,1673913.043,0.003875041
10/29/70,1970,10,29,134782.6087,0.011027569,1673913.043,0.015784916
10/30/70,1970,10,30,134782.6087,0.002050983,1673913.043,0.002928025
10/31/70,1970,10,31,134782.6087,0.001986258,1673913.043,0.00282817
5/1/71,1971,5,1,134782.6087,0,1673913.043,0
5/2/71,1971,5,2,134782.6087,0,1673913.043,0
5/3/71,1971,5,3,134782.6087,0.046938776,1673913.043,0.048979592
5/4/71,1971,5,4,134782.6087,0,1673913.043,0
5/5/71,1971,5,5,134782.6087,0,1673913.043,0
5/6/71,1971,5,6,134782.6087,0,1673913.043,0
5/7/71,1971,5,7,134782.6087,0.019501134,1673913.043,0.098639456
5/8/71,1971,5,8,134782.6087,0,1673913.043,0
5/9/71,1971,5,9,134782.6087,0,1673913.043,0
