"date","Year","Month","Day","Obs_TDP","nondiazoPP","diazoPP"
1996-06-17,1996,6,17,9,4,0
1996-06-26,1996,6,26,10,5,0
1996-07-02,1996,7,2,11,6,0
1996-07-09,1996,7,9,10,6,0
1996-07-15,1996,7,15,43,25,0
1996-07-23,1996,7,23,10,15,0
1996-07-29,1996,7,29,18,17,0
1996-08-06,1996,8,6,10,14,0
1996-08-12,1996,8,12,10,21,0
1996-08-20,1996,8,20,11,12,0
1996-08-26,1996,8,26,11,13,0
1996-09-03,1996,9,3,15,18,0
1996-09-09,1996,9,9,12,17,0
1996-09-18,1996,9,18,15,13,0
1996-09-23,1996,9,23,9,18,0
1996-10-07,1996,10,7,7,27,0
1997-05-22,1997,5,22,9,26,0
1997-05-26,1997,5,26,10,27.9415348177901,0.058465182209943
1997-06-02,1997,6,2,6,11.2371091791973,1.76289082080273
1997-06-09,1997,6,9,8,19.1181484962386,4.88185150376141
1997-06-18,1997,6,18,6,1.6162879395983,19.3837120604017
1997-06-23,1997,6,23,8,6.61908394311686,79.3809160568831
1997-07-02,1997,7,2,5,1.99495722862326,28.0050427713767
1997-07-07,1997,7,7,5,1.94950428545731,38.0504957145427
1997-07-14,1997,7,14,5,1.1098474503098,20.8901525496902
1997-07-21,1997,7,21,6,0.769615583145498,23.2303844168545
1997-07-28,1997,7,28,7,0.622397062940797,14.3776029370592
1997-08-06,1997,8,6,5,4.57149907803341,6.42850092196659
1997-08-11,1997,8,11,8,8.7631000502747,8.2368999497253
1997-08-18,1997,8,18,8,13.411378776402,6.58862122359797
1997-08-25,1997,8,25,7,15.5948006834391,6.40519931656089
1997-09-04,1997,9,4,11,21.0920151101759,22.9079848898241
1997-09-08,1997,9,8,8,13.901555413525,15.098444586475
1997-09-15,1997,9,15,10,26.1814745613804,20.8185254386196
1997-10-15,1997,10,15,8,29.547959543618,4.45204045638198
1998-05-20,1998,5,20,8,25.4106504663908,6.58934953360925
1998-06-03,1998,6,3,11,15.3598150468364,37.6401849531636
1998-06-17,1998,6,17,72,8.56976728755428,147.430232712446
1998-07-01,1998,7,1,196,4.65074210519999,47.3492578948
1998-07-15,1998,7,15,15,3.35194358774768,29.6480564122523
1998-07-29,1998,7,29,9,9.78704256285235,14.2129574371476
1998-08-12,1998,8,12,8,10.0462533219622,12.9537466780378
1998-08-26,1998,8,26,10,9.83808919261642,17.1619108073836
1998-09-09,1998,9,9,8,20.365043391914,5.63495660808603
1998-10-07,1998,10,7,10,31.6558848511473,0.344115148852705
1999-05-27,1999,5,27,71,44,0
1999-06-09,1999,6,9,9,17.7420553111451,6.25794468885487
1999-07-07,1999,7,7,13,2.5564587933723,38.4435412066277
1999-07-20,1999,7,20,10,6.60525124695376,24.3947487530462
1999-08-05,1999,8,5,10,2.8955490228768,19.1044509771232
1999-08-17,1999,8,17,11,13.1582101192505,3.84178988074955
1999-09-01,1999,9,1,11,11.0242537782151,7.97574622178487
1999-09-15,1999,9,15,8,22.6588871306299,0.341112869370051
1999-10-20,1999,10,20,7,25,0
2000-05-17,2000,5,17,6,19,0
2000-05-31,2000,5,31,9,23.5543879950912,0.445612004908847
2000-06-14,2000,6,14,7,16.9741359590387,2.02586404096135
2000-06-28,2000,6,28,12,11.953159008308,10.046840991692
2000-07-12,2000,7,12,7,2.03447733021866,30.9655226697813
2000-07-26,2000,7,26,5,15.9565760280596,6.04342397194041
2000-08-10,2000,8,10,3,11.1190611604433,4.8809388395567
2000-08-22,2000,8,22,0.25,21.5592502097155,1.44074979028455
2000-09-06,2000,9,6,12,21.9757525730841,8.0242474269159
2000-10-04,2000,10,4,1,19.5273117937218,3.47268820627815
2001-05-16,2001,5,16,0.25,17.3485915700726,0.651408429927439
2001-05-30,2001,5,30,8,19.9077176717312,0.0922823282688201
2001-06-13,2001,6,13,7,12.3349216906058,9.66507830939422
2001-06-27,2001,6,27,3,1.36772372382125,23.6322762761788
2001-07-11,2001,7,11,10,2.39400982429558,21.6059901757044
2001-07-25,2001,7,25,8,1.969990544108,10.030009455892
2001-08-09,2001,8,9,12,15.1791303597651,5.82086964023487
2001-08-22,2001,8,22,10,19.623839957083,7.37616004291696
2001-09-06,2001,9,6,10,18.5130050624754,13.4869949375246
2001-09-17,2001,9,17,13,31.6943228444666,3.30567715553337
2001-10-03,2001,10,3,8,26.5022041495279,1.49779585047212
2002-05-22,2002,5,22,9,13,0
2002-06-05,2002,6,5,8,14.6848177772506,0.31518222274941
2002-06-18,2002,6,18,11,9.41611630516042,14.5838836948396
2002-07-02,2002,7,2,11,2.79309673464973,15.2069032653503
2002-07-16,2002,7,16,6,5.79545822653821,10.2045417734618
2002-07-30,2002,7,30,7,13.7943664712081,5.20563352879188
2002-08-13,2002,8,13,9,9.29970070209379,21.7002992979062
2002-08-27,2002,8,27,11,17.6337576482144,12.3662423517856
2002-09-10,2002,9,10,13,16.9175388235451,14.0824611764549
2002-09-24,2002,9,24,9,31.723005991066,4.27699400893401
2002-10-28,2002,10,28,11,37,0
2003-05-20,2003,5,20,7,16.8705074496088,1.12949255039123
2003-06-02,2003,6,2,6,13.6048458405408,4.39515415945922
2003-06-16,2003,6,16,5,2.85546205557718,25.1445379444228
2003-06-30,2003,6,30,4,2.04396373490104,8.95603626509896
2003-07-14,2003,7,14,12,2.12497969621848,2.87502030378151
2003-07-28,2003,7,28,8,17.9701110603066,7.02988893969337
2003-08-11,2003,8,11,2,17.0435114066336,18.9564885933664
2003-08-25,2003,8,25,9,14.0864216311014,21.9135783688986
2003-09-08,2003,9,8,10,20.2969507257951,5.70304927420488
