location,sublocation,start_date,manipulation_type,item,item_description,manipulation_method,method_description,percent_purity,specific_gravity,amount,amount_units,corrected_amount,corrected_units,start_time,end_time,end_date,observation
227,LA,25-Sep-73,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,25-Sep-73,
227,LA,02-Oct-73,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,02-Oct-73,
227,LA,08-Oct-73,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,08-Oct-73,
227,LA,21-May-74,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,21-May-74,
227,LA,28-May-74,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,28-May-74,
227,LA,04-Jun-74,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,04-Jun-74,
227,LA,11-Jun-74,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,11-Jun-74,
227,LA,18-Jun-74,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,18-Jun-74,
227,LA,25-Jun-74,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,25-Jun-74,
227,LA,02-Jul-74,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,02-Jul-74,
