"Year","Month","Day","TPI","TPI.constant"
2011,9,11,52.9183673469388,17.5
2011,9,12,53.8265306122449,17.5
2011,9,13,54.734693877551,17.5
2011,9,14,55.6428571428571,17.5
2011,9,15,56.5510204081633,17.5
2011,9,16,57.4591836734694,17.5
2011,9,17,58.3673469387755,17.5
2011,9,18,59.2755102040816,17.5
2011,9,19,60.1836734693878,17.5
2011,9,20,61.0918367346939,17.5
2011,9,21,62,62
2011,9,22,60,62
2011,9,23,58,62
2011,9,24,56,62
2011,9,25,54,62
2011,9,26,52,62
2011,9,27,50,62
2011,9,28,48,48
2011,9,29,49,48
2011,9,30,50,48
2011,10,1,51,48
2011,10,2,52,48
2011,10,3,53,48
2011,10,4,54,48
2011,10,5,55,48
2011,10,6,56,48
2011,10,7,57,48
2011,10,8,58,48
2011,10,9,59,48
2011,10,10,60,48
2011,10,11,61,48
2011,10,12,62,48
2011,10,13,63,48
2011,10,14,64,48
2011,10,15,65,48
2011,10,16,66,48
2011,10,17,67,48
2011,10,18,68,48
2011,10,19,69,69
2011,10,20,70.2857142857143,69
2011,10,21,71.5714285714286,69
2011,10,22,72.8571428571429,69
2011,10,23,74.1428571428571,69
2011,10,24,75.4285714285714,69
2011,10,25,76.7142857142857,69
2011,10,26,78,78
2011,10,27,77.6643835616438,78
2011,10,28,77.3287671232877,78
2011,10,29,76.9931506849315,78
2011,10,30,76.6575342465753,78
2011,10,31,76.3219178082192,78
2011,11,1,75.986301369863,78
2011,11,2,75.6506849315068,78
2011,11,3,75.3150684931507,78
2011,11,4,74.9794520547945,78
2011,11,5,74.6438356164384,78
2011,11,6,74.3082191780822,78
2011,11,7,73.972602739726,78
2011,11,8,73.6369863013699,78
2011,11,9,73.3013698630137,78
2011,11,10,72.9657534246575,78
2011,11,11,72.6301369863014,78
2011,11,12,72.2945205479452,78
2011,11,13,71.958904109589,78
2011,11,14,71.6232876712329,78
2011,11,15,71.2876712328767,78
2011,11,16,70.9520547945205,78
2011,11,17,70.6164383561644,78
2011,11,18,70.2808219178082,78
2011,11,19,69.9452054794521,78
2011,11,20,69.6095890410959,78
2011,11,21,69.2739726027397,78
2011,11,22,68.9383561643836,78
2011,11,23,68.6027397260274,78
2011,11,24,68.2671232876712,78
2011,11,25,67.9315068493151,78
2011,11,26,67.5958904109589,78
2011,11,27,67.2602739726027,78
2011,11,28,66.9246575342466,78
2011,11,29,66.5890410958904,78
2011,11,30,66.2534246575343,78
2011,12,1,65.9178082191781,78
2011,12,2,65.5821917808219,78
2011,12,3,65.2465753424657,78
2011,12,4,64.9109589041096,78
2011,12,5,64.5753424657534,78
2011,12,6,64.2397260273973,78
2011,12,7,63.9041095890411,78
2011,12,8,63.5684931506849,78
2011,12,9,63.2328767123288,78
2011,12,10,62.8972602739726,78
2011,12,11,62.5616438356164,78
2011,12,12,62.2260273972603,78
2011,12,13,61.8904109589041,78
2011,12,14,61.5547945205479,78
2011,12,15,61.2191780821918,78
2011,12,16,60.8835616438356,78
2011,12,17,60.5479452054795,78
2011,12,18,60.2123287671233,78
2011,12,19,59.8767123287671,78
2011,12,20,59.541095890411,78
2011,12,21,59.2054794520548,78
2011,12,22,58.8698630136986,78
2011,12,23,58.5342465753425,78
2011,12,24,58.1986301369863,78
2011,12,25,57.8630136986301,78
2011,12,26,57.527397260274,78
2011,12,27,57.1917808219178,78
2011,12,28,56.8561643835616,78
2011,12,29,56.5205479452055,78
2011,12,30,56.1849315068493,78
2011,12,31,55.8493150684932,78
2012,1,1,55.513698630137,78
2012,1,2,55.1780821917808,78
2012,1,3,54.8424657534247,78
2012,1,4,54.5068493150685,78
2012,1,5,54.1712328767123,78
2012,1,6,53.8356164383562,78
2012,1,7,53.5,78
2012,1,8,53.1643835616438,78
2012,1,9,52.8287671232877,78
2012,1,10,52.4931506849315,78
2012,1,11,52.1575342465753,78
2012,1,12,51.8219178082192,78
2012,1,13,51.486301369863,78
2012,1,14,51.1506849315069,78
2012,1,15,50.8150684931507,78
2012,1,16,50.4794520547945,78
2012,1,17,50.1438356164384,78
2012,1,18,49.8082191780822,78
2012,1,19,49.472602739726,78
2012,1,20,49.1369863013699,78
