z	 OMzt	 OMbzt	 DOM1zt	 DOM2zt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 OHzt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt
6.8235	0.00044692	3.9531	0.00018618	0.026146	0	0	0.3946	4.06E-09	4.43E-101	2.9644e-323	0.1	0	1.16E-10	0.011767	0.00060202	1.11E-19	9.18E-103	5.36E-09	0.00013404	0	3.91E-56	7.5312	0.010659	0.0092226	0.17577	0.0072746	1.83E-06	0.013597	2.34E-05	0.71863	1.15E-15
6.9412	0.00042694	3.791	0.00018691	0.025919	0	0	0.39171	4.06E-09	8.42E-103	2.9644e-323	0.1	0	1.16E-10	0.011825	0.00060107	1.15E-19	9.32E-103	5.43E-09	0.0001359	0	3.97E-56	7.5844	0.010554	0.0093408	0.17726	0.0072746	1.83E-06	0.013809	2.34E-05	0.71868	1.15E-15
7.0588	0.00040764	3.6358	0.00018763	0.025701	0	0	0.38883	4.06E-09	1.60E-104	2.9644e-323	0.1	0	1.15E-10	0.011883	0.00060013	1.19E-19	9.46E-103	5.51E-09	0.00013774	0	4.03E-56	7.6355	0.010452	0.0094579	0.17876	0.0072746	1.83E-06	0.014022	2.34E-05	0.71873	1.15E-15
7.1765	0.00038901	3.4872	0.00018832	0.025489	0	0	0.38597	4.06E-09	3.05E-106	2.9644e-323	0.1	0	1.15E-10	0.011941	0.00059919	1.23E-19	9.60E-103	5.58E-09	0.00013957	0	4.09E-56	7.6847	0.010351	0.0095738	0.18026	0.0072746	1.83E-06	0.014234	2.34E-05	0.71878	1.15E-15
7.2941	0.00037104	3.3453	0.00018899	0.025285	0	0	0.38313	4.05E-09	5.80E-108	2.9644e-323	0.1	0	1.15E-10	0.011999	0.00059826	1.27E-19	9.74E-103	5.65E-09	0.00014138	0	4.15E-56	7.732	0.010253	0.0096884	0.18177	0.0072746	1.83E-06	0.014446	2.34E-05	0.71884	1.15E-15
7.4118	0.00035373	3.2098	0.00018964	0.025089	0	0	0.38031	4.05E-09	1.10E-109	2.9644e-323	0.1	0	1.15E-10	0.012056	0.00059733	1.30E-19	9.88E-103	5.73E-09	0.00014318	0	4.21E-56	7.7774	0.010157	0.0098019	0.18328	0.0072746	1.83E-06	0.014657	2.34E-05	0.7189	1.15E-15
7.5294	0.00033707	3.0806	0.00019027	0.024899	0	0	0.37752	4.05E-09	2.10E-111	2.9644e-323	0.1	0	1.15E-10	0.012113	0.00059639	1.34E-19	1.00E-102	5.80E-09	0.00014496	0	4.27E-56	7.8209	0.010063	0.0099143	0.1848	0.0072746	1.83E-06	0.014868	2.33E-05	0.71896	1.15E-15
7.6471	0.00032105	2.9576	0.00019087	0.024716	0	0	0.37474	4.05E-09	3.99E-113	2.9644e-323	0.1	0	1.15E-10	0.01217	0.00059545	1.39E-19	1.02E-102	5.87E-09	0.00014673	0	4.33E-56	7.8628	0.0099711	0.010025	0.18633	0.0072746	1.83E-06	0.015079	2.33E-05	0.71903	1.15E-15
7.7647	0.00030566	2.8404	0.00019145	0.02454	0	0	0.37199	4.05E-09	7.60E-115	2.9644e-323	0.1	0	1.15E-10	0.012225	0.00059451	1.43E-19	1.03E-102	5.94E-09	0.00014849	0	4.39E-56	7.9029	0.0098813	0.010136	0.18786	0.0072746	1.83E-06	0.015289	2.33E-05	0.71909	1.15E-15
7.8824	0.0002909	2.729	0.000192	0.024371	0	0	0.36926	4.05E-09	1.45E-116	2.9644e-323	0.1	0	1.15E-10	0.01228	0.00059355	1.47E-19	1.04E-102	6.01E-09	0.00015023	0	4.44E-56	7.9414	0.0097935	0.010244	0.1894	0.0072746	1.83E-06	0.015498	2.33E-05	0.71916	1.15E-15
8	0.00027675	2.6232	0.00019253	0.024208	0	0	0.36655	4.05E-09	2.75E-118	2.9644e-323	0.1	0	1.15E-10	0.012334	0.00059259	1.51E-19	1.06E-102	6.08E-09	0.00015196	0	4.50E-56	7.9783	0.0097077	0.010352	0.19095	0.0072746	1.83E-06	0.015707	2.33E-05	0.71923	1.15E-15
8.1176	0.0002632	2.5226	0.00019304	0.024051	0	0	0.36387	4.05E-09	5.23E-120	2.9644e-323	0.1	0	1.15E-10	0.012388	0.00059161	1.55E-19	1.07E-102	6.15E-09	0.00015367	0	4.56E-56	8.0136	0.0096239	0.010459	0.1925	0.0072746	1.83E-06	0.015915	2.33E-05	0.7193	1.15E-15
8.2353	0.00025024	2.4272	0.00019353	0.0239	0	0	0.36121	4.05E-09	9.96E-122	2.9644e-323	0.1	0	1.15E-10	0.01244	0.00059061	1.59E-19	1.08E-102	6.21E-09	0.00015537	0	4.61E-56	8.0475	0.0095421	0.010564	0.19406	0.0072746	1.83E-06	0.016122	2.33E-05	0.71937	1.15E-15
8.3529	0.00023786	2.3368	0.00019399	0.023755	0	0	0.35858	4.05E-09	1.89E-123	2.9644e-323	0.1	0	1.15E-10	0.012491	0.0005896	1.63E-19	1.10E-102	6.28E-09	0.00015706	0	4.67E-56	8.0799	0.0094623	0.010669	0.19562	0.0072746	1.83E-06	0.016329	2.33E-05	0.71945	1.15E-15
